Id,downvotes,upvotes
"43619882","0","3"
"43426022","0","1"
"47752955","0","8"
"44279340","0","3"
"50714316","0","103"
"62205282","0","1"
"56199684","0","8"
"43140501","0","25"
"46468747","0","1"
"63844088","0","5"
"63742348","0","2"
"59198914","0","2"
"47322087","0","0"
"47472657","0","6"
"43259076","0","5"
"47554301","0","1"
"48629988","0","25"
"47785475","1","31"
"48807291","0","1"
"41696966","0","8"
"58396970","0","9"
"48710914","0","7"
"66537089","0","2"
"66922447","0","5"
"50123767","0","8"
"66852907","0","8"
"50370374","0","7"
"59951174","5","6"
"67812084","3","0"
"50359000","1","3"
"50953859","0","4"
"53370943","0","6"
"68833157","0","1"
"42762391","0","14"
"68999272","0","2"
"42979575","0","2"
"50783920","0","1"
"54597500","0","9"
"50928547","0","1"
"53065486","0","7"
"70344495","0","2"
"70519481","1","1"
"53457386","0","6"
"53418418","0","1"
"70847601","1","0"
"47706500","0","2"
"71314170","0","1"
"44861134","2","3"
"60115784","0","8"
"68437814","0","1"
"71861452","0","5"
"56982947","0","0"
"57114876","0","0"
"66431831","0","2"
"43125100","0","1"
"52500271","0","3"
"57655898","2","3"
"71108426","0","2"
"53717043","0","3"
"57886822","0","1"
"57887008","0","0"
"46658040","0","8"
"75966037","1","1"
"55972067","0","2"
"59046230","0","0"
"61208573","0","1"
"73305950","0","1"
"77515291","1","0"
"66885199","0","0"
"49427833","0","0"
"75944641","0","0"
"55025274","0","0"
"75289807","0","0"
"73328621","0","0"
"69451972","0","0"
"74928043","0","0"
"70708774","0","0"
"76857600","0","0"
"69029673","0","0"
"67666326","0","0"
"41964061","0","0"
"43282205","0","0"
"66750518","0","0"
"75610575","0","0"
"64721983","0","0"
"72418018","0","0"
"51141691","0","0"
"46681082","0","0"
"49631240","0","0"
"74297397","0","0"
"61477814","0","0"
"60388998","0","0"
"75148494","0","0"
"42622888","0","0"
"57154611","0","0"
"44304931","0","0"
"67274161","0","0"
"54992375","0","0"
"61654530","0","0"
"64390665","0","0"
"57789488","0","0"
"61534376","0","0"
"44010351","1","0"
"44016928","0","4"
"44525432","0","1"
"61757827","0","2"
"53430030","0","2"
"48195759","0","3"
"63226754","0","1"
"56087483","0","3"
"53072820","0","3"
"46414999","0","2"
"46860447","0","3"
"47886582","0","1"
"64991610","0","2"
"65901255","0","2"
"48673050","0","3"
"47455612","0","1"
"57451246","0","3"
"67053695","0","1"
"60359307","0","5"
"65613400","0","3"
"50743313","0","1"
"49707745","0","4"
"68174511","1","0"
"68676162","0","1"
"69359806","0","1"
"52757052","0","2"
"70134816","0","1"
"70428787","0","1"
"71001631","1","2"
"47670234","0","3"
"70147700","0","2"
"65425760","0","4"
"73224712","0","1"
"73720840","1","1"
"47869975","0","3"
"74116713","1","2"
"57249292","0","0"
"57717589","0","1"
"57772770","0","0"
"42486194","0","1"
"42782876","0","1"
"49936845","0","2"
"57003440","0","3"
"58462701","1","1"
"66647525","0","1"
"60494313","0","3"
"74964449","0","2"
"76523418","0","1"
"51271761","1","2"
"59892785","0","2"
"76831788","0","0"
"59778587","0","6"
"76931578","0","2"
"76975665","1","0"
"52007482","1","2"
"75181737","0","1"
"54684282","0","0"
"58109709","0","0"
"76470975","0","0"
"45684749","0","0"
"44841825","0","0"
"75614672","0","0"
"42023873","0","0"
"51328479","0","0"
"76671585","0","0"
"61424034","0","0"
"73942480","0","0"
"76068102","0","0"
"76614300","0","0"
"49871231","0","0"
"76330707","0","0"
"76011916","0","0"
"66122100","0","0"
"76082493","0","0"
"69219352","0","0"
"46368732","0","0"
"77048806","0","0"
"41660260","0","0"
"72782767","0","0"
"77055658","0","0"
"63967044","0","0"
"54001136","0","0"
"52405112","0","0"
"64785664","0","0"
"73375463","0","0"
"71031508","0","0"
"76697726","0","0"
"65329579","0","0"
"60213126","0","0"
"69097545","0","0"
"67953283","0","0"
"68937116","0","0"
"51946363","0","0"
"53591176","0","0"
"73697157","0","0"
"77428736","0","0"
"77358530","0","0"
"75551496","0","0"
"77067279","0","0"
"53838771","0","0"
"47252916","0","1"
"59848342","0","1"
"45355515","0","1"
"45549075","0","0"
"55809566","0","2"
"63695746","0","0"
"43101749","0","5"
"47627304","0","1"
"48161011","2","0"
"66013188","0","2"
"66392103","0","1"
"42473172","0","4"
"57391013","1","1"
"51528480","0","0"
"51620733","0","2"
"51916061","0","1"
"55637947","0","1"
"70076838","0","3"
"70975661","1","0"
"71014010","0","1"
"69953657","0","3"
"69204525","0","1"
"54673745","0","2"
"52479113","0","5"
"61479089","0","1"
"72881426","0","0"
"73246702","0","0"
"57067898","0","1"
"74953560","0","3"
"75193024","0","1"
"75458639","0","1"
"76007488","0","1"
"73402675","0","1"
"77189309","0","1"
"54194545","0","1"
"66997848","0","1"
"61922447","1","2"
"76394492","0","0"
"61404774","0","0"
"76412888","0","0"
"76312583","0","0"
"73338764","0","0"
"74526472","0","0"
"49742604","0","0"
"42286577","0","0"
"68840336","0","0"
"55771418","0","0"
"45271180","0","0"
"48869004","0","0"
"76724317","0","0"
"71712545","0","0"
"42187275","0","0"
"59128891","0","0"
"60541105","0","13"
"61378103","0","1"
"62366923","1","4"
"44662092","1","0"
"51477200","0","19"
"60648092","0","3"
"64020382","1","0"
"59708246","0","4"
"62846164","0","2"
"47315788","0","2"
"47498059","0","1"
"47549602","0","2"
"57424603","0","2"
"45331877","0","4"
"42255855","0","6"
"65443870","0","33"
"49447756","0","2"
"49026901","1","1"
"61753605","0","2"
"47554201","0","7"
"54465913","0","12"
"65474932","0","3"
"66104879","0","2"
"51185784","1","1"
"61987162","0","2"
"49131907","0","2"
"69172696","0","2"
"43126085","0","2"
"50615566","1","1"
"69434987","0","1"
"52422078","0","4"
"68456097","0","5"
"69841288","0","1"
"46150037","0","2"
"52745697","0","3"
"48561919","0","5"
"53558553","0","14"
"70975315","1","0"
"70957956","0","7"
"54989300","0","4"
"69317556","0","3"
"71307638","0","1"
"64913607","0","2"
"55476240","0","11"
"45346905","0","5"
"43301265","0","18"
"55997834","0","1"
"51836625","0","4"
"56357089","0","3"
"74405813","1","0"
"60019148","0","5"
"73533544","0","2"
"51159379","0","10"
"42285449","0","3"
"73829584","0","1"
"57742985","0","3"
"58180179","0","0"
"63285292","0","2"
"69738222","0","7"
"43020740","2","1"
"43119982","0","4"
"71743625","1","6"
"43221883","0","1"
"43938177","0","1"
"43876322","0","4"
"59392585","1","0"
"48317571","0","1"
"63649140","0","5"
"77052665","0","1"
"71682357","0","2"
"77373469","0","1"
"77257846","1","1"
"51726477","0","1"
"69730196","0","0"
"68002787","0","0"
"76426526","0","0"
"50535298","0","0"
"47394261","0","0"
"74113639","0","0"
"76412969","0","0"
"59933915","0","0"
"72535076","0","0"
"60834842","0","0"
"75267489","0","0"
"71648813","0","0"
"73444809","0","0"
"71937091","0","0"
"61121405","0","0"
"64844339","0","0"
"54118856","0","0"
"76567338","0","0"
"62987588","0","0"
"45593411","0","0"
"63404581","0","0"
"64625300","0","0"
"58024098","0","0"
"67290220","0","0"
"43628192","0","0"
"69586349","0","0"
"42974970","0","0"
"75801339","0","0"
"67512164","0","0"
"51411069","0","0"
"71484921","0","0"
"49793850","0","0"
"44067545","0","0"
"75524802","0","0"
"76280410","0","0"
"45408589","0","0"
"69018894","0","0"
"53897167","0","0"
"44509142","1","0"
"48704982","0","1"
"60106146","0","2"
"62814674","0","7"
"63782079","0","2"
"62484221","0","1"
"47056354","0","1"
"63946848","0","1"
"64668488","0","2"
"64912196","0","5"
"65726131","0","1"
"48759034","0","4"
"66380908","0","0"
"49507944","0","1"
"44132595","0","1"
"66739911","0","1"
"67767093","1","1"
"45791358","0","1"
"47300563","0","1"
"68648603","0","1"
"64383243","0","1"
"59718108","0","3"
"49515510","0","1"
"71386104","0","1"
"72295147","1","0"
"55178619","2","0"
"72509945","1","0"
"72573602","0","1"
"55639070","0","1"
"67988005","0","4"
"45877627","0","1"
"70987097","0","7"
"56738803","0","7"
"69582389","2","4"
"74963033","1","2"
"71375954","0","4"
"74054123","0","3"
"75495837","0","1"
"58652378","1","1"
"43693446","0","1"
"64226296","0","3"
"59492216","0","0"
"76181900","0","2"
"77507295","1","0"
"74287094","0","0"
"73324366","0","0"
"76314559","0","0"
"41761109","0","0"
"76537535","0","0"
"66914487","0","0"
"75852568","0","0"
"70410012","0","0"
"76987377","0","0"
"46220613","0","0"
"62694045","0","0"
"45963030","0","0"
"76396568","0","0"
"61026762","0","0"
"67077947","0","0"
"77452264","0","0"
"59975221","0","0"
"50361298","0","0"
"56483874","0","0"
"69400329","0","0"
"75950007","0","0"
"58544365","0","0"
"61918220","0","0"
"69744106","0","0"
"44529986","0","0"
"51620632","0","0"
"45802239","0","0"
"51427391","0","0"
"60616789","0","0"
"50291461","0","0"
"76999651","0","0"
"51290227","0","0"
"69926103","0","0"
"57966971","0","0"
"64965667","0","0"
"42426123","0","0"
"62686623","0","1"
"62893736","0","1"
"56338506","0","1"
"46730200","0","1"
"64276911","0","1"
"64141726","0","1"
"47562524","0","1"
"55851997","0","1"
"49015968","0","1"
"68351306","0","2"
"68860538","0","1"
"69774147","0","1"
"44296036","0","1"
"52373459","0","2"
"60261634","0","1"
"53119353","0","2"
"59710898","0","2"
"68643010","0","1"
"72791534","1","1"
"71119621","0","6"
"56673575","0","2"
"70564253","0","1"
"42100457","0","1"
"74783286","0","2"
"74983502","0","1"
"57915105","0","2"
"75360159","1","1"
"58627624","0","1"
"58889184","0","2"
"76741967","0","1"
"60491314","0","1"
"73286536","0","0"
"65295950","0","0"
"77490879","0","0"
"69533974","0","0"
"42828301","0","0"
