q_id,q_author,q_oid,q_creationDate,q_ClosedDate,q_aaId,q_answerCount,Tags,q_viewCount,aa_creationDate,aa_id,aa_score,aa_author,aa_oid
"77524250","","12688707","2023-11-21 16:03:57","","77551109","2","<go><logging>","48","2023-11-26 09:25:30","77551109","0","","12688707"
"77521240","","14516016","2023-11-21 08:14:28","","77526170","1","<python><logging><github-actions>","45","2023-11-21 22:00:11","77526170","1","","5747944"
"77517021","","2940920","2023-11-20 15:19:14","","77535714","1","<java><tomcat><logging><tomcat9>","37","2023-11-23 09:31:23","77535714","0","","2940920"
"77516410","","13785467","2023-11-20 13:50:31","","77517096","1","<python><django><logging><django-rest-framework><django-admin>","20","2023-11-20 15:29:22","77517096","0","","9313033"
"77504588","","2784039","2023-11-17 20:56:58","","77504641","1","<go><logging>","41","2023-11-17 21:07:53","77504641","1","","11923999"
"77504332","","8643925","2023-11-17 20:00:51","","77505828","1","<c++><logging><boost><boost-log>","21","2023-11-18 05:49:08","77505828","1","","85371"
"77492938","","1278463","2023-11-16 07:30:00","","77494398","1","<google-cloud-platform><logging><google-cloud-storage><google-cloud-logging>","58","2023-11-16 11:23:16","77494398","0","","1278463"
"77487948","","6008385","2023-11-15 13:07:42","","77510820","1","<c#><logging><nlog><.net-4.8>","60","2023-11-19 12:53:05","77510820","1","","193178"
"77486759","","155050","2023-11-15 10:01:37","","77488478","1","<ruby-on-rails><logging><ruby-on-rails-7>","176","2023-11-15 14:18:26","77488478","2","","207090"
"77475966","","22756413","2023-11-13 18:10:38","","77487985","2","<java><dependencies><apache-commons-logging>","37","2023-11-15 13:12:20","77487985","1","","22756413"
"77469182","","9971404","2023-11-12 13:52:29","","77472214","1","<c#><.net-core><logging><entity-framework-core><.net-7.0>","65","2023-11-13 07:09:36","77472214","1","","7450780"
"77459456","","10950656","2023-11-10 10:54:26","","77459502","1","<python><logging>","22","2023-11-10 11:03:20","77459502","0","","1536363"
"77448944","","22553624","2023-11-08 21:06:47","","77449494","1","<java><logging><log4j2><c3p0>","47","2023-11-08 23:04:05","77449494","0","","1413240"
"77438171","","6824992","2023-11-07 12:21:31","","77438470","1","<c#><.net><logging><console><dependency-inversion>","31","2023-11-07 13:10:09","77438470","1","","264697"
"77430880","","14194674","2023-11-06 11:51:28","","77437594","2","<delphi><logging>","170","2023-11-07 10:51:30","77437594","2","","15476651"
"77427114","","15949286","2023-11-05 18:12:53","","77432457","3","<bash><logging>","223","2023-11-06 15:54:04","77432457","1","","1745001"
"77423868","","1734357","2023-11-04 21:22:06","","77429056","1","<python><logging><structlog>","31","2023-11-06 06:09:34","77429056","1","","476759"
"77419600","","9915497","2023-11-03 20:44:13","","77432904","1","<powershell><file><logging><import-module>","53","2023-11-06 16:59:07","77432904","0","","45375"
"77417178","","17665766","2023-11-03 13:52:51","","77418049","1","<javascript><node.js><logging><colors>","46","2023-11-03 15:51:30","77418049","1","","19068"
"77414343","","5675288","2023-11-03 05:19:37","","77414796","1","<python><logging><python-logging>","44","2023-11-03 07:16:35","77414796","1","","1235698"
"77409881","","2581506","2023-11-02 13:13:24","","77409882","1","<python><logging>","28","2023-11-02 13:13:24","77409882","0","","2581506"
"77409302","","17795398","2023-11-02 11:46:03","","77414724","2","<python><logging>","91","2023-11-03 07:02:07","77414724","1","","16477554"
"77408201","","7745011","2023-11-02 09:02:58","","77408425","1","<python><logging><rabbitmq><pika>","36","2023-11-02 09:34:57","77408425","1","","6890912"
"77396796","","22370266","2023-10-31 14:31:23","","77402355","1","<kubernetes><logging><azure-aks>","63","2023-11-01 11:42:31","77402355","0","","22600697"
"77379421","","4243458","2023-10-28 12:25:18","","77403543","1","<asp.net-core><logging><dependency-injection><azure-functions>","121","2023-11-01 14:54:46","77403543","0","","20240963"
"77376139","","11262937","2023-10-27 17:46:04","","77398537","1","<java><logging><log4j><log4j2>","34","2023-10-31 19:13:15","77398537","2","","1278899"
"77372695","","22812148","2023-10-27 08:44:49","","77373094","1","<c#><.net><asp.net-core><logging><serilog>","86","2023-10-27 09:40:12","77373094","1","","20240963"
"77372141","","20677096","2023-10-27 07:14:17","","77372731","2","<java><logging><filtering>","29","2023-10-27 08:49:37","77372731","0","","1180351"
"77369320","","1191147","2023-10-26 17:51:25","","77369495","2","<php><laravel><logging>","67","2023-10-26 18:20:43","77369495","1","","1446609"
"77362080","","15315039","2023-10-25 18:29:38","","77368042","1","<elasticsearch><logging><prometheus><fluentd><observability>","70","2023-10-26 14:46:04","77368042","0","","12169199"
"77358530","","11503138","2023-10-25 10:07:03","","77375749","1","<python><python-3.x><logging><multiprocessing><fastapi>","115","2023-10-27 16:28:50","77375749","1","","5587158"
"77352743","","3154301","2023-10-24 13:56:52","","77531731","1","<.net-core><logging><serilog>","95","2023-11-22 16:40:45","77531731","0","","3154301"
"77350775","","13927534","2023-10-24 09:05:07","","77357530","1","<java><logging><apache-httpclient-4.x>","80","2023-10-25 07:48:18","77357530","1","","1180351"
"77349667","","22792381","2023-10-24 05:18:04","","77349845","1","<python><flask><logging>","58","2023-10-24 06:08:20","77349845","1","","2081835"
"77346224","","13242975","2023-10-23 14:51:40","","77348362","1","<node.js><logging><fastify>","45","2023-10-23 21:13:27","77348362","1","","3309466"
"77344903","","241446","2023-10-23 11:43:50","","77360357","1","<.net><logging><serilog><serilog-filter>","45","2023-10-25 14:22:28","77360357","1","","5441972"
"77335074","","21529520","2023-10-21 07:18:33","","77335259","3","<python><logging>","51","2023-10-21 08:28:32","77335259","1","","12621346"
"77331986","","14643464","2023-10-20 15:05:50","","77357822","1","<regex><parsing><logging><fluentd><observability>","67","2023-10-25 08:30:57","77357822","1","","14643464"
"77325615","","6608222","2023-10-19 16:34:46","","77327518","1","<c#><.net><wpf><logging>","34","2023-10-19 23:21:03","77327518","1","","5739443"
"77323854","","2358438","2023-10-19 12:42:00","","77326468","2","<java><spring-boot><apache-kafka><audit-logging>","66","2023-10-19 19:08:15","77326468","1","","2308683"
"77322778","","22612533","2023-10-19 10:00:07","","77339519","1","<debugging><logging><stream><twilio><twilio-programmable-voice>","41","2023-10-22 10:17:38","77339519","0","","4276983"
"77319228","","1391441","2023-10-18 19:56:04","","77326998","1","<python><matplotlib><logging><latex>","42","2023-10-19 20:46:16","77326998","1","","118903"
"77304845","","1767106","2023-10-16 20:41:28","","77304959","2","<go><logging>","973","2023-10-16 21:05:32","77304959","3","","4974261"
"77292752","","235671","2023-10-14 12:08:40","","77292858","1","<python><python-logging>","61","2023-10-14 12:49:30","77292858","0","","235671"
"77288032","","5919632","2023-10-13 13:12:47","","77298470","1","<django><logging><uwsgi>","124","2023-10-15 21:03:37","77298470","1","","6309"
"77286694","","9971404","2023-10-13 09:43:29","","77287812","2","<c#><asp.net-core><.net-core><logging><ilogger>","84","2023-10-13 12:37:20","77287812","0","","9971404"
"77283164","","8263341","2023-10-12 18:53:35","2023-10-13 19:32:32","77283200","1","<c#><.net><logging><serilog><structured-logging>","61","2023-10-12 18:58:35","77283200","0","","22731047"
"77277384","","15502957","2023-10-12 02:40:18","","77533683","1","<c++><qt><logging><log4cxx>","47","2023-11-22 23:55:44","77533683","0","","15502957"
"77273317","","2042829","2023-10-11 13:02:01","","77273356","1","<c#><logging><log4net>","31","2023-10-11 13:07:12","77273356","1","","2142950"
"77245739","","1981978","2023-10-06 15:33:40","","77311939","2","<ios><swift><logging><oslog>","102","2023-10-17 20:02:28","77311939","1","","95309"
"77242611","","8532748","2023-10-06 07:35:29","","77256379","2","<python-3.x><azure-application-insights><open-telemetry><python-logging><opencensus>","219","2023-10-09 05:12:13","77256379","2","","20237633"
"77239802","","17350835","2023-10-05 18:43:35","","77244416","2","<c++><logging><boost>","55","2023-10-06 12:24:45","77244416","0","","4636534"
"77238489","","9305401","2023-10-05 15:22:08","","77314779","2","<spring><spring-boot><spring-security><audit-logging>","29","2023-10-18 08:45:12","77314779","0","","9305401"
"77231000","","10354450","2023-10-04 15:38:37","","77231001","1","<testing><logging><ballerina>","35","2023-10-04 15:38:37","77231001","4","","10354450"
"77227984","","1079475","2023-10-04 08:30:27","","77228868","1","<java><parsing><logging><log4j2>","38","2023-10-04 10:40:51","77228868","0","","1079475"
"77221762","","22410466","2023-10-03 11:15:45","","77221974","2","<java><spring-boot><logging><log4j2>","75","2023-10-03 11:46:27","77221974","-1","","18024421"
"77203167","","20112316","2023-09-29 15:31:09","","77203662","1","<php><laravel><logging><supervisord>","73","2023-09-29 17:00:49","77203662","1","","20112316"
"77199149","","13742157","2023-09-29 02:17:28","","77203754","1","<docker><elasticsearch><logging><kibana>","70","2023-09-29 17:18:07","77203754","1","","783043"
"77194454","","22650827","2023-09-28 11:16:44","","77258903","1","<c#><.net><database><logging><entity-framework-core>","49","2023-10-09 12:36:48","77258903","1","","22650827"
"77193572","","1128648","2023-09-28 09:02:40","","77194306","1","<python><python-logging>","59","2023-09-28 10:49:22","77194306","1","","5835276"
"77189309","","52513","2023-09-27 16:27:43","","77259891","1","<c#><logging><serilog>","87","2023-10-09 14:59:51","77259891","1","","22711245"
"77188431","","1506226","2023-09-27 14:29:34","","77235835","3","<java><logging><soap><guidewire>","124","2023-10-05 09:26:39","77235835","2","","22171845"
"77185346","","13094533","2023-09-27 07:18:33","","77186866","1","<google-cloud-platform><google-cloud-logging><google-cloud-monitoring><log-based-metrics>","113","2023-09-27 11:00:19","77186866","0","","19230181"
"77185147","","11533375","2023-09-27 06:40:27","","77199134","1","<.net><powershell><logging><events><filesystemwatcher>","35","2023-09-29 02:11:48","77199134","1","","15339544"
"77177721","","6161444","2023-09-26 07:10:41","","77181973","1","<python><pytest><python-logging>","36","2023-09-26 16:45:16","77181973","1","","13261176"
"77171603","","21549463","2023-09-25 09:53:29","","77172451","4","<bash><logging>","61","2023-09-25 11:58:40","77172451","0","","1745001"
"77167964","","1146471","2023-09-24 16:25:42","","77169483","2","<c#><debugging><logging><asp.net-core-mvc><.net-7.0>","140","2023-09-25 01:20:59","77169483","2","","22497028"
"77154105","","2936204","2023-09-21 23:16:18","","77186577","1","<c#><asp.net-core><logging>","30","2023-09-27 10:20:21","77186577","0","","2936204"
"77153209","","715747","2023-09-21 19:42:44","","77157791","1","<macos><logging><vapor>","48","2023-09-22 12:54:11","77157791","1","","1823705"
"77151098","","3045272","2023-09-21 14:15:39","","77151346","1","<logging><label><promtail>","131","2023-09-21 14:47:21","77151346","0","","3045272"
